Address A,Port A,Address B,Port B,Packet B to A Frames,Packet B to A Bytes,Packet A to B Frames,Packet A to B Bytes,Total Packet,Total Bytes,Relative Start,Duration
10.2.2.2:37253,10.22.11.9,80,202,814575,222,15404,424,829979,161875.753209,0.7542,
10.25.22.253:2387,10.25.22.58,445,6,810,7,1081,13,1891,1318919.574216,0.7549,
10.2.2.2:37242,10.22.11.9,80,225,913972,247,17022,472,930994,161822.65933,0.7881,
10.2.2.2:37250,10.22.11.9,80,162,672581,183,12969,345,685550,161861.942584,0.7919,
10.25.22.252:50318,10.25.22.22,80,5,561,6,645,11,1206,257809.997019,0.7943,
10.25.22.252:33638,10.25.22.30,80,14,1867,15,1309,29,3176,257764.607415,0.8017,
10.25.22.252:50315,10.25.22.22,80,7,2821,8,737,15,3558,257809.620214,0.8031,
10.25.22.253:1745,69.195.141.178,443,11,6113,11,1166,22,7279,149820.256731,0.8068,
10.25.22.253:2368,10.25.22.58,445,6,810,6,1021,12,1831,1318911.672285,0.8148,
10.25.22.253:2371,10.25.22.58,445,6,810,6,1021,12,1831,1318912.917637,0.8207,
10.2.2.2:37241,10.22.11.9,80,224,913814,273,18641,497,932455,161820.289756,0.824,
10.2.2.2:37220,10.22.11.9,80,168,672219,184,12686,352,684905,161814.639535,0.8455,
10.25.22.253:1747,75.99.175.194,80,3,180,3,186,6,366,149821.012113,0.8868,
10.25.22.253:1750,75.99.175.194,80,3,180,3,186,6,366,149822.319066,0.892,
10.25.22.252:50314,10.25.22.22,80,5,1342,6,644,11,1986,257809.388885,0.8944,
10.25.22.253:2351,75.99.175.194,80,3,180,3,186,6,366,1318657.468211,0.9086,
10.25.22.253:2359,10.25.22.30,445,3,180,3,186,6,366,1318866.21979,0.9141,
10.21.22.253:33929,81.169.180.37,443,19,16549,21,2266,40,18815,154017.934334,0.9182,
10.25.22.253:2350,75.99.175.194,80,3,180,3,186,6,366,1318657.45309,0.9233,
10.21.22.253:33931,81.169.180.37,443,24,22516,22,2012,46,24528,154035.465492,0.9275,
10.25.22.252:50319,10.25.22.22,80,5,582,6,646,11,1228,257810.043349,0.9279,
10.25.22.252:50316,10.25.22.22,80,5,1246,6,611,11,1857,257809.620485,0.9308,
10.25.22.253:1752,75.99.175.194,80,3,180,3,186,6,366,149823.225712,0.9699,
10.25.22.253:1751,75.99.175.194,80,3,180,3,186,6,366,149822.350758,0.9715,
10.25.22.253:2380,10.25.22.58,445,6,810,6,1021,12,1831,1318916.692021,0.9855,
10.25.22.253:2342,82.103.140.42,443,10,6025,9,1033,19,7058,1318656.36196,0.9866,
10.25.22.58:4444,10.25.22.253,2423,3,186,3,180,6,366,1318976.826967,0.9951,
10.25.22.253:2358,10.25.22.20,445,3,180,3,186,6,366,1318861.205231,1.0067,
10.25.22.58:4444,10.25.22.253,2422,3,186,3,180,6,366,1318975.038596,1.0331,
10.25.22.253:1749,75.99.175.194,80,3,180,3,186,6,366,149822.058616,1.0435,
10.25.22.253:2352,75.99.175.194,80,3,180,3,186,6,366,1318658.423568,1.0463,
10.25.22.253:2353,75.99.175.194,80,3,180,3,186,6,366,1318658.423871,1.0463,
10.25.22.253:2349,75.99.175.194,80,3,180,3,186,6,366,1318657.203827,1.0633,
10.25.22.253:1748,75.99.175.194,80,3,180,3,186,6,366,149821.272553,1.0639,
10.25.22.253:2348,75.99.175.194,80,3,180,3,186,6,366,1318657.188449,1.0783,
10.25.22.253:2411,10.25.22.58,445,6,810,6,1021,12,1831,1318929.70228,1.0869,
10.25.22.58:4444,10.25.22.253,2421,3,186,3,180,6,366,1318973.230398,1.0917,
10.25.22.253:2364,10.25.22.58,445,6,810,8,1141,14,1951,1318909.726755,1.0978,
10.25.22.252:33636,10.25.22.30,80,42,26234,38,2827,80,29061,257756.762564,1.1071,
10.25.22.253:2392,10.25.22.58,445,6,810,6,1021,12,1831,1318921.729976,1.1484,
10.25.22.252:33642,10.25.22.30,80,14,1867,15,1309,29,3176,257769.252224,1.1711,
10.21.22.253:33438,81.169.180.37,80,4,791,6,528,10,1319,154017.552185,1.19,
10.21.22.253:33440,81.169.180.37,80,4,797,6,531,10,1328,154035.082843,1.1947,
10.25.22.253:2399,10.25.22.58,445,6,810,6,1021,12,1831,1318924.58235,1.2036,
10.25.22.58:4444,10.25.22.253,2424,3,186,3,180,6,366,1318978.567224,1.3518,
10.25.22.253:2413,10.25.22.58,445,6,810,9,1201,15,2011,1318930.527282,1.395,
10.25.22.253:2362,10.25.22.58,445,6,810,7,1087,13,1897,1318908.508061,1.4018,
10.21.22.253:46148,10.21.22.23,502,3,192,4,236,7,428,154108.05345,1.9371,
10.25.22.253:1743,63.245.217.36,80,4,647,6,822,10,1469,149819.484484,3.3022,
10.21.22.10:46524,10.21.22.24,502,6,374,8,545,14,919,153897.69852,4.8425,
10.25.22.253:1746,72.167.239.239,80,7,2823,5,729,12,3552,149820.610952,5.0176,
10.2.2.2:37270,10.22.11.9,80,5,1242,5,847,10,2089,161940.807732,5.0652,
10.2.2.2:37269,10.22.11.9,80,5,1221,5,846,10,2067,161940.806197,5.0661,
10.2.2.2:37268,10.22.11.9,80,6,2397,6,910,12,3307,161940.804694,5.0675,
10.2.2.2:37187,10.22.11.9,80,21,108500,60,4404,81,112904,161718.356025,5.068,
10.2.2.2:37267,10.22.11.9,80,5,1656,5,845,10,2501,161940.80315,5.069,
10.2.2.2:37266,10.22.11.9,80,5,1425,5,843,10,2268,161940.801661,5.0712,
10.2.2.2:37183,10.22.11.9,80,5,1242,5,795,10,2037,161706.429993,5.0826,
10.2.2.2:37182,10.22.11.9,80,5,1221,5,794,10,2015,161706.428434,5.0841,
10.2.2.2:37181,10.22.11.9,80,6,2397,6,858,12,3255,161706.426876,5.0856,
10.25.22.253:1792,208.80.154.225,80,5,756,6,762,11,1518,149873.460023,5.111,
10.2.2.2:37265,10.22.11.9,80,8,11637,14,1952,22,13589,161940.669137,5.1294,
10.25.22.253:1794,208.80.154.224,80,6,2516,7,820,13,3336,149874.821033,5.1299,
10.2.2.2:37186,10.22.11.9,80,30,223175,95,7188,125,230363,161718.266257,5.1425,
10.25.22.253:2347,72.167.239.239,80,7,2823,5,747,12,3570,1318657.12635,5.1593,
10.25.22.253:1782,208.80.154.225,80,13,12435,10,840,23,13275,149867.830784,5.1852,
10.2.2.2:37262,10.22.11.9,80,6,6731,9,1090,15,7821,161921.190184,5.1911,
10.2.2.2:37188,10.22.11.9,80,9,10697,13,1463,22,12160,161724.888621,5.2144,
10.25.22.253:1803,82.103.134.102,80,3,184,5,278,8,462,149941.684379,5.2414,
10.2.2.2:37180,10.22.11.9,80,11,14239,18,2961,29,17200,161706.152026,5.3378,
10.25.22.253:2547,10.25.22.250,80,30,367167,36,2544,66,369711,14.455909,5.339,
10.25.22.253:1793,208.80.154.225,80,48,63330,25,2464,73,65794,149873.530672,5.3777,
10.25.22.253:1805,10.25.22.23,80,17,17142,17,2193,34,19335,149988.111456,5.3868,
10.25.22.253:1774,165.254.158.56,80,2,122,4,224,6,346,149837.286761,5.5516,
10.25.22.253:1763,72.21.203.211,80,2,120,4,224,6,344,149837.264935,5.5602,
10.25.22.253:1758,74.125.226.228,80,3,182,4,224,7,406,149832.019946,5.7732,
10.25.22.253:1806,10.25.22.23,80,3,180,4,224,7,404,149989.344789,5.7742,
10.25.22.253:2346,192.190.173.45,80,13,8328,13,2413,26,10741,1318656.48815,5.8599,
10.25.22.253:2345,192.190.173.45,80,15,13232,14,2483,29,15715,1318656.487787,5.8979,
10.25.22.253:2343,192.190.173.45,80,16,13963,15,2542,31,16505,1318656.486998,5.9196,
10.2.2.2:37185,10.22.11.9,80,3,214,5,338,8,552,161706.433074,5.9896,
10.2.2.2:37184,10.22.11.9,80,3,214,5,338,8,552,161706.431543,5.991,
10.25.22.58:4444,10.25.22.253,2425,346,464171,65,3908,411,468079,1318980.299628,6.0475,
10.21.22.10:46514,10.21.22.24,502,8,488,14,900,22,1388,153882.35931,6.0966,
10.25.22.253:2341,192.190.173.45,80,22,22266,18,3366,40,25632,1318656.037743,6.3289,
10.25.22.253:2340,192.190.173.45,80,42,50531,25,3339,67,53870,1318655.617547,6.711,
10.25.22.252:33640,10.25.22.30,80,14,1867,15,1309,29,3176,257767.30408,7.1041,
10.21.22.10:46517,10.21.22.24,502,20,1220,30,1826,50,3046,153885.3633,7.7975,
10.21.22.10:46500,10.21.22.24,502,54,3380,23,1363,77,4743,153846.385894,7.9541,
10.21.22.10:46520,10.21.22.24,502,15,926,20,1238,35,2164,153892.155183,8.3665,
10.25.22.253:2420,10.25.22.58,445,58,7129,73,25258,131,32387,1318973.228437,8.4867,
10.25.22.253:2354,192.190.173.45,80,7,2071,7,738,14,2809,1318664.082398,9.047,
10.25.22.253:1744,69.16.175.10,80,211,311830,86,5017,297,316847,149820.15132,9.2858,
10.25.22.253:1788,208.80.154.240,80,7,4065,8,1197,15,5262,149868.810243,10.0866,
10.25.22.253:1790,208.80.154.240,80,11,9310,10,1649,21,10959,149868.810949,10.0995,
10.25.22.253:1791,208.80.154.240,80,8,4136,8,1185,16,5321,149868.811206,10.1019,
10.21.22.10:46519,10.21.22.24,502,16,994,19,1178,35,2172,153890.36621,10.1532,
