Address A,Port A,Address B,Port B,Packet B to A Frames,Packet B to A Bytes,Packet A to B Frames,Packet A to B Bytes,Total Packet,Total Bytes,Relative Start,Duration
10.25.22.253:58412,8.8.8.8,53,1,162,1,76,2,238,149870.674197,0.0404,
10.25.22.253:56750,8.8.8.8,53,1,162,1,76,2,238,149869.723081,0.0405,
10.25.22.253:55988,8.8.8.8,53,1,162,1,76,2,238,149869.516749,0.0407,
10.25.22.253:64674,8.8.8.8,53,1,162,1,76,2,238,149869.343703,0.0411,
10.25.22.253:57898,8.8.8.8,53,1,162,1,76,2,238,149869.212015,0.0412,
10.25.22.253:56313,8.8.8.8,53,1,109,1,75,2,184,149855.120612,0.0413,
10.25.22.253:49912,8.8.8.8,53,1,279,1,79,2,358,149830.711699,0.0415,
10.25.22.253:61755,8.8.8.8,53,1,162,1,76,2,238,149869.41881,0.0417,
10.25.22.253:60441,8.8.8.8,53,1,235,1,84,2,319,149880.390535,0.042,
10.25.22.253:64671,8.8.8.8,53,1,190,1,84,2,274,149820.1085,0.0422,
10.25.22.253:50674,8.8.8.8,53,1,162,1,76,2,238,149869.300029,0.0425,
10.25.22.253:49761,8.8.8.8,53,2,306,1,86,3,392,149927.13966,0.043,
10.25.22.253:60756,8.8.8.8,53,1,162,1,76,2,238,149869.814475,0.043,
10.25.22.253:49235,8.8.8.8,53,1,162,1,76,2,238,149869.255608,0.0433,
10.25.22.253:59718,8.8.8.8,53,1,96,1,80,2,176,149928.045811,0.0433,
10.25.22.253:64678,8.8.8.8,53,1,162,1,76,2,238,149869.771092,0.0435,
10.25.22.253:65299,8.8.8.8,53,1,86,1,70,2,156,149928.045278,0.0438,
10.25.22.253:55037,8.8.8.8,53,1,162,1,76,2,238,149869.793886,0.0438,
10.25.22.253:65310,8.8.8.8,53,1,163,1,77,2,240,149870.910027,0.0439,
10.25.22.253:64676,8.8.8.8,53,1,162,1,76,2,238,149869.387606,0.0441,
10.25.22.253:60116,8.8.8.8,53,1,93,1,77,2,170,1318671.30158,0.0441,
10.25.22.253:49791,8.8.8.8,53,1,162,1,76,2,238,149869.152232,0.0442,
10.25.22.253:59574,8.8.8.8,53,1,112,1,71,2,183,149928.044396,0.0447,
10.25.22.253:60482,8.8.8.8,53,1,162,1,76,2,238,149869.541941,0.0448,
10.25.22.253:60112,8.8.8.8,53,1,162,1,76,2,238,149869.151378,0.045,
10.25.22.253:55248,8.8.8.8,53,1,89,1,73,2,162,149928.17181,0.0454,
10.25.22.253:54435,8.8.8.8,53,1,88,1,72,2,160,1318671.688212,0.0457,
10.25.22.253:51910,8.8.8.8,53,1,86,1,70,2,156,1318671.275893,0.0475,
10.25.22.253:65190,8.8.8.8,53,1,162,1,76,2,238,149869.205653,0.0476,
10.25.22.253:53248,8.8.8.8,53,1,162,1,76,2,238,149869.160363,0.0483,
10.25.22.253:57806,8.8.8.8,53,1,163,1,77,2,240,149870.554461,0.0485,
10.25.22.252:38950,8.8.8.8,53,2,244,2,152,4,396,257859.39367,0.0488,
10.25.22.253:64687,8.8.8.8,53,1,162,1,76,2,238,149870.665369,0.0496,
10.25.22.253:54135,8.8.8.8,53,1,162,1,76,2,238,149869.335035,0.0497,
